Name,Crystal Structure,Diaphaneity,Specific Gravity,Optical,Refractive Index,Molar Mass,Molar Volume,Calculated Density
Blodite,2.0,0.0,2.23,4.0,1.485,179.388928,0.1120702,1.329
Blossite,3.0,1.0,3.99,4.0,2.05,178.4851,0.04479943,3.307
Bobfergusonite,2.0,2.0,0.0,4.0,1.565,1412.442983,0.2690581200000001,4.357
Boltwoodite,2.0,2.0,4.7,4.0,1.6880000000000002,445.238068,0.0449321,8.225
Bonaccordite,3.0,0.0,0.0,0.0,0.0,548.9696,0.05603911,8.131
Boracite,3.0,2.0,2.95,4.0,1.665,113.3785,0.03344478,2.8139999999999996
Borax,0.0,0.0,0.0,0.0,0.0,221.675736,0.033752380000000005,5.4510000000000005
Botallackite,2.0,2.0,3.6,4.0,1.807,196.55938,0.05585618,2.9210000000000003
Botryogen,2.0,0.0,0.0,0.0,0.0,647.41425,0.08979658,5.984
Boussingaultite,2.0,2.0,1.73,4.0,0.0,192.45293999999998,0.2016994,0.792
Brassite,3.0,2.0,2.28,4.0,1.546,236.29279,0.0337051,5.819
Braunite,4.0,1.0,4.775,0.0,0.0,295.8359,0.0336295,7.301
Brazilianite,2.0,2.0,2.98,4.0,1.614,361.906469,0.17927976999999998,1.675
Brianite,2.0,3.0,3.05,4.0,1.604,300.30526000000003,0.08968949999999999,2.779
Bridgmanite,0.0,0.0,0.0,0.0,0.0,314.08911800000004,0.02248933,11.592
Brochantite,2.0,2.0,3.97,4.0,1.766,452.29164,0.17926476,2.094
Bromellite,5.0,2.0,3.02,0.0,1.726,25.01158,0.01120088,1.8530000000000002
Brookite,3.0,1.0,4.13,4.0,2.622,79.8788,0.0224026,2.9589999999999996
Brownmillerite,3.0,3.0,3.76,4.0,2.003,253.733278,0.033648060000000014,6.2589999999999995
Brucite,5.0,3.0,2.395,3.0,1.5830000000000002,41.31234,0.02242,1.5290000000000001
Brushite,2.0,2.0,2.3280000000000003,4.0,1.545,167.04816200000002,0.0672189,2.063
Buddingtonite,2.0,2.0,2.32,4.0,1.5319999999999998,204.137818,0.06722118,2.521
Bukovskyite,1.0,0.0,0.0,0.0,0.0,2126.33581,0.31379963,5.624
Bultfonteinite,1.0,3.0,0.0,4.0,1.591,486.53700599999996,0.11220779999999997,3.5989999999999998
Bunsenite,6.0,3.0,6.898,2.0,2.37,208.079,0.02241177,7.706
Bustamite,1.0,2.0,3.383,4.0,1.676,418.2832,0.1008668,3.4419999999999997
Bystrite,5.0,2.0,2.43,3.0,1.6219999999999999,818.4253279999998,0.10107386,6.721
Cabalzarite,2.0,3.0,3.89,4.0,1.73,343.084659,0.06728143,4.232
